,artist,genres
0,Kanye West,pop
1,Kanye West,pop rap
2,Kanye West,rap
0,Kendrick Lamar,hip hop
1,Kendrick Lamar,pop rap
2,Kendrick Lamar,rap
3,Kendrick Lamar,west coast rap
0,Travis Scott,pop
1,Travis Scott,pop rap
2,Travis Scott,rap
3,Travis Scott,trap music
0,Migos,pop
1,Migos,rap
2,Migos,trap music
0,Jaden Smith,pop
1,Jaden Smith,pop rap
2,Jaden Smith,rap
3,Jaden Smith,underground hip hop
0,Rich Brian,indonesian hip hop
1,Rich Brian,underground hip hop
2,Rich Brian,vapor trap
0,Post Malone,pop
1,Post Malone,rap
0,Rae Sremmurd,hip hop
1,Rae Sremmurd,pop
2,Rae Sremmurd,pop rap
3,Rae Sremmurd,rap
4,Rae Sremmurd,southern hip hop
5,Rae Sremmurd,trap music
0,Drake,canadian hip hop
1,Drake,canadian pop
2,Drake,hip hop
3,Drake,pop rap
4,Drake,rap
0,A$AP Rocky,east coast hip hop
1,A$AP Rocky,hip hop
2,A$AP Rocky,pop
3,A$AP Rocky,pop rap
4,A$AP Rocky,rap
5,A$AP Rocky,southern hip hop
6,A$AP Rocky,trap music
0,A$AP Ferg,hip hop
1,A$AP Ferg,pop
2,A$AP Ferg,pop rap
3,A$AP Ferg,rap
4,A$AP Ferg,southern hip hop
5,A$AP Ferg,trap music
6,A$AP Ferg,underground hip hop
0,21 Savage,pop
1,21 Savage,rap
2,21 Savage,trap music
0,Big Sean,detroit hip hop
1,Big Sean,hip hop
2,Big Sean,pop
3,Big Sean,pop rap
4,Big Sean,rap
5,Big Sean,southern hip hop
6,Big Sean,trap music
0,Pusha T,alternative hip hop
1,Pusha T,dirty south rap
2,Pusha T,gangster rap
3,Pusha T,hip hop
4,Pusha T,pop rap
5,Pusha T,rap
6,Pusha T,southern hip hop
7,Pusha T,trap music
8,Pusha T,underground hip hop
0,Kid Cudi,hip hop
1,Kid Cudi,pop rap
2,Kid Cudi,rap
0,Future,pop
1,Future,pop rap
2,Future,rap
3,Future,southern hip hop
4,Future,trap music
0,French Montana,hip hop
1,French Montana,pop
2,French Montana,pop rap
3,French Montana,rap
4,French Montana,southern hip hop
5,French Montana,trap music
0,JAY Z,bulgarian hip hop
1,JAY Z,east coast hip hop
2,JAY Z,gangster rap
3,JAY Z,hip hop
4,JAY Z,pop rap
5,JAY Z,rap
6,JAY Z,southern hip hop
0,Chance The Rapper,hip hop
1,Chance The Rapper,pop
2,Chance The Rapper,pop rap
3,Chance The Rapper,rap
0,Gucci Mane,dirty south rap
1,Gucci Mane,hip hop
2,Gucci Mane,pop
3,Gucci Mane,pop rap
4,Gucci Mane,rap
5,Gucci Mane,southern hip hop
6,Gucci Mane,trap music
0,Childish Gambino,hip hop
1,Childish Gambino,pop rap
2,Childish Gambino,rap
0,NAV,canadian hip hop
1,NAV,pop
2,NAV,rap
3,NAV,trap music
0,Young Thug,dwn trap
1,Young Thug,gangster rap
2,Young Thug,hip hop
3,Young Thug,pop
4,Young Thug,pop rap
5,Young Thug,rap
6,Young Thug,southern hip hop
7,Young Thug,trap music
0,Kodak Black,pop
1,Kodak Black,rap
2,Kodak Black,southern hip hop
3,Kodak Black,trap music
0,6LACK,indie r&b
1,6LACK,pop
2,6LACK,r&b
3,6LACK,rap
4,6LACK,trap music
0,Flatbush Zombies,hip hop
1,Flatbush Zombies,rap
2,Flatbush Zombies,trap music
3,Flatbush Zombies,underground hip hop
0,BlocBoy JB,rap
1,BlocBoy JB,southern hip hop
2,BlocBoy JB,trap music
0,Lil Uzi Vert,pop
1,Lil Uzi Vert,rap
2,Lil Uzi Vert,trap music
0,Lil Yachty,pop
1,Lil Yachty,rap
2,Lil Yachty,southern hip hop
3,Lil Yachty,trap music
0,Jay Rock,dirty south rap
1,Jay Rock,gangster rap
2,Jay Rock,hip hop
3,Jay Rock,pop rap
4,Jay Rock,rap
5,Jay Rock,southern hip hop
6,Jay Rock,trap music
7,Jay Rock,underground hip hop
0,ScHoolboy Q,gangster rap
1,ScHoolboy Q,hip hop
2,ScHoolboy Q,pop
3,ScHoolboy Q,pop rap
4,ScHoolboy Q,rap
5,ScHoolboy Q,southern hip hop
6,ScHoolboy Q,trap music
7,ScHoolboy Q,underground hip hop
0,Joey Bada$$,hip hop
1,Joey Bada$$,pop rap
2,Joey Bada$$,rap
3,Joey Bada$$,trap music
4,Joey Bada$$,underground hip hop
0,Noname,escape room
1,Noname,indie r&b
0,Cardi B,pop
0,Nicki Minaj,dance pop
1,Nicki Minaj,hip pop
2,Nicki Minaj,pop
3,Nicki Minaj,pop rap
4,Nicki Minaj,post-teen pop
0,Awkwafina,escape room
1,Awkwafina,hip pop
0,Lil Pump,rap
0,Smokepurpp,canadian hip hop
1,Smokepurpp,pop
2,Smokepurpp,rap
3,Smokepurpp,southern hip hop
4,Smokepurpp,trap music
5,Smokepurpp,underground hip hop
6,Smokepurpp,vapor trap
0,Blac Youngsta,deep trap
1,Blac Youngsta,dwn trap
2,Blac Youngsta,pop rap
3,Blac Youngsta,rap
4,Blac Youngsta,southern hip hop
5,Blac Youngsta,trap music
0,"Tyler, The Creator",hip hop
1,"Tyler, The Creator",rap
0,Frank Ocean,hip hop
1,Frank Ocean,indie r&b
2,Frank Ocean,neo soul
3,Frank Ocean,pop
4,Frank Ocean,pop rap
5,Frank Ocean,r&b
6,Frank Ocean,rap
0,Tyga,dance pop
1,Tyga,hip hop
2,Tyga,pop
3,Tyga,pop rap
4,Tyga,rap
5,Tyga,southern hip hop
6,Tyga,trap music
0,Lil Wayne,hip hop
1,Lil Wayne,pop
2,Lil Wayne,pop rap
3,Lil Wayne,rap
4,Lil Wayne,trap music
0,G-Eazy,indie pop rap
0,Logic,pop rap
1,Logic,rap
0,Mac Miller,hip hop
1,Mac Miller,pop
2,Mac Miller,pop rap
3,Mac Miller,rap
4,Mac Miller,southern hip hop
5,Mac Miller,trap music
0,Anderson .Paak,escape room
1,Anderson .Paak,hip hop
2,Anderson .Paak,indie r&b
3,Anderson .Paak,la indie
4,Anderson .Paak,rap
0,J. Cole,pop
1,J. Cole,pop rap
2,J. Cole,rap
0,Lil Dicky,pop rap
1,Lil Dicky,rap
0,Wiz Khalifa,hip hop
1,Wiz Khalifa,pop rap
2,Wiz Khalifa,rap
3,Wiz Khalifa,southern hip hop
4,Wiz Khalifa,trap music
0,Tory Lanez,canadian hip hop
1,Tory Lanez,indie r&b
2,Tory Lanez,pop
3,Tory Lanez,pop rap
4,Tory Lanez,r&b
5,Tory Lanez,rap
6,Tory Lanez,southern hip hop
7,Tory Lanez,trap music
0,Lil Xan,underground hip hop
0,Denzel Curry,drill
1,Denzel Curry,hip hop
2,Denzel Curry,rap
3,Denzel Curry,trap music
4,Denzel Curry,underground hip hop
5,Denzel Curry,vapor trap
